TargetDate1,TargetMonth,TargetDay
2025-04-09,200000000,6666666.666666667
2025-04-10,200000000,6666666.666666667
2025-04-11,200000000,6666666.666666667
2025-04-12,200000000,6666666.666666667
2025-04-13,200000000,6666666.666666667
2025-04-14,200000000,6666666.666666667
2025-04-15,200000000,6666666.666666667
2025-04-16,200000000,6666666.666666667
2025-04-17,200000000,6666666.666666667
2025-04-18,200000000,6666666.666666667
2025-04-19,200000000,6666666.666666667
2025-04-20,200000000,6666666.666666667
2025-04-21,200000000,6666666.666666667
2025-04-22,200000000,6666666.666666667
2025-04-23,200000000,6666666.666666667
2025-04-24,200000000,6666666.666666667
2025-04-25,200000000,6666666.666666667
2025-04-26,200000000,6666666.666666667
2025-04-27,200000000,6666666.666666667
2025-04-28,200000000,6666666.666666667
2025-04-29,200000000,6666666.666666667
2025-04-30,200000000,6666666.666666667
2025-05-01,200000000,6451612.903225807
2025-05-02,200000000,6451612.903225807
2025-05-03,200000000,6451612.903225807
2025-05-04,200000000,6451612.903225807
2025-05-05,200000000,6451612.903225807
2025-05-06,200000000,6451612.903225807
2025-05-07,200000000,6451612.903225807
2025-05-08,200000000,6451612.903225807
2025-05-09,200000000,6451612.903225807
2025-05-10,200000000,6451612.903225807
2025-05-11,200000000,6451612.903225807
2025-05-12,200000000,6451612.903225807
2025-05-13,200000000,6451612.903225807
2025-05-14,200000000,6451612.903225807
2025-05-15,200000000,6451612.903225807
2025-05-16,200000000,6451612.903225807
2025-05-17,200000000,6451612.903225807
2025-05-18,200000000,6451612.903225807
2025-05-19,200000000,6451612.903225807
2025-05-20,200000000,6451612.903225807
2025-05-21,200000000,6451612.903225807
2025-05-22,200000000,6451612.903225807
2025-05-23,200000000,6451612.903225807
2025-05-24,200000000,6451612.903225807
2025-05-25,200000000,6451612.903225807
2025-05-26,200000000,6451612.903225807
2025-05-27,200000000,6451612.903225807
2025-05-28,200000000,6451612.903225807
2025-05-29,200000000,6451612.903225807
2025-05-30,200000000,6451612.903225807
2025-05-31,200000000,6451612.903225807
2025-06-01,200000000,6666666.666666667
2025-06-02,200000000,6666666.666666667
2025-06-03,200000000,6666666.666666667
2025-06-04,200000000,6666666.666666667
2025-06-05,200000000,6666666.666666667
2025-06-06,200000000,6666666.666666667
2025-06-07,200000000,6666666.666666667
2025-06-08,200000000,6666666.666666667
2025-06-09,200000000,6666666.666666667
2025-06-10,200000000,6666666.666666667
2025-06-11,200000000,6666666.666666667
2025-06-12,200000000,6666666.666666667
2025-06-13,200000000,6666666.666666667
2025-06-14,200000000,6666666.666666667
2025-06-15,200000000,6666666.666666667
2025-06-16,200000000,6666666.666666667
2025-06-17,200000000,6666666.666666667
2025-06-18,200000000,6666666.666666667
2025-06-19,200000000,6666666.666666667
2025-06-20,200000000,6666666.666666667
2025-06-21,200000000,6666666.666666667
2025-06-22,200000000,6666666.666666667
2025-06-23,200000000,6666666.666666667
2025-06-24,200000000,6666666.666666667
2025-06-25,200000000,6666666.666666667
2025-06-26,200000000,6666666.666666667
2025-06-27,200000000,6666666.666666667
2025-06-28,200000000,6666666.666666667
2025-06-29,200000000,6666666.666666667
2025-06-30,200000000,6666666.666666667
2025-07-01,200000000,6451612.903225807
2025-07-02,200000000,6451612.903225807
2025-07-03,200000000,6451612.903225807
2025-07-04,200000000,6451612.903225807
2025-07-05,200000000,6451612.903225807
2025-07-06,200000000,6451612.903225807
2025-07-07,200000000,6451612.903225807
2025-07-08,200000000,6451612.903225807
2025-07-09,200000000,6451612.903225807
2025-07-10,200000000,6451612.903225807
2025-07-11,200000000,6451612.903225807
2025-07-12,200000000,6451612.903225807
2025-07-13,200000000,6451612.903225807
2025-07-14,200000000,6451612.903225807
2025-07-15,200000000,6451612.903225807
2025-07-16,200000000,6451612.903225807
2025-07-17,200000000,6451612.903225807
2025-07-18,200000000,6451612.903225807
2025-07-19,200000000,6451612.903225807
2025-07-20,200000000,6451612.903225807
2025-07-21,200000000,6451612.903225807
2025-07-22,200000000,6451612.903225807
2025-07-23,200000000,6451612.903225807
2025-07-24,200000000,6451612.903225807
2025-07-25,200000000,6451612.903225807
2025-07-26,200000000,6451612.903225807
2025-07-27,200000000,6451612.903225807
2025-07-28,200000000,6451612.903225807
2025-07-29,200000000,6451612.903225807
2025-07-30,200000000,6451612.903225807
2025-07-31,200000000,6451612.903225807
2025-08-01,200000000,6451612.903225807
2025-08-02,200000000,6451612.903225807
2025-08-03,200000000,6451612.903225807
2025-08-04,200000000,6451612.903225807
2025-08-05,200000000,6451612.903225807
2025-08-06,200000000,6451612.903225807
2025-08-07,200000000,6451612.903225807
2025-08-08,200000000,6451612.903225807
2025-08-09,200000000,6451612.903225807
2025-08-10,200000000,6451612.903225807
2025-08-11,200000000,6451612.903225807
2025-08-12,200000000,6451612.903225807
2025-08-13,200000000,6451612.903225807
2025-08-14,200000000,6451612.903225807
2025-08-15,200000000,6451612.903225807
2025-08-16,200000000,6451612.903225807
2025-08-17,200000000,6451612.903225807
2025-08-18,200000000,6451612.903225807
2025-08-19,200000000,6451612.903225807
2025-08-20,200000000,6451612.903225807
2025-08-21,200000000,6451612.903225807
2025-08-22,200000000,6451612.903225807
2025-08-23,200000000,6451612.903225807
2025-08-24,200000000,6451612.903225807
2025-08-25,200000000,6451612.903225807
2025-08-26,200000000,6451612.903225807
2025-08-27,200000000,6451612.903225807
2025-08-28,200000000,6451612.903225807
2025-08-29,200000000,6451612.903225807
2025-08-30,200000000,6451612.903225807
2025-08-31,200000000,6451612.903225807
2025-09-01,200000000,6666666.666666667
2025-09-02,200000000,6666666.666666667
2025-09-03,200000000,6666666.666666667
2025-09-04,200000000,6666666.666666667
2025-09-05,200000000,6666666.666666667
2025-09-06,200000000,6666666.666666667
2025-09-07,200000000,6666666.666666667
2025-09-08,200000000,6666666.666666667
2025-09-09,200000000,6666666.666666667
2025-09-10,200000000,6666666.666666667
2025-09-11,200000000,6666666.666666667
2025-09-12,200000000,6666666.666666667
2025-09-13,200000000,6666666.666666667
2025-09-14,200000000,6666666.666666667
2025-09-15,200000000,6666666.666666667
2025-09-16,200000000,6666666.666666667
2025-09-17,200000000,6666666.666666667
2025-09-18,200000000,6666666.666666667
2025-09-19,200000000,6666666.666666667
2025-09-20,200000000,6666666.666666667
2025-09-21,200000000,6666666.666666667
2025-09-22,200000000,6666666.666666667
2025-09-23,200000000,6666666.666666667
2025-09-24,200000000,6666666.666666667
2025-09-25,200000000,6666666.666666667
2025-09-26,200000000,6666666.666666667
2025-09-27,200000000,6666666.666666667
2025-09-28,200000000,6666666.666666667
2025-09-29,200000000,6666666.666666667
2025-09-30,200000000,6666666.666666667
2025-10-01,200000000,6451612.903225807
2025-10-02,200000000,6451612.903225807
2025-10-03,200000000,6451612.903225807
2025-10-04,200000000,6451612.903225807
2025-10-05,200000000,6451612.903225807
2025-10-06,200000000,6451612.903225807
2025-10-07,200000000,6451612.903225807
2025-10-08,200000000,6451612.903225807
2025-10-09,200000000,6451612.903225807
2025-10-10,200000000,6451612.903225807
2025-10-11,200000000,6451612.903225807
2025-10-12,200000000,6451612.903225807
2025-10-13,200000000,6451612.903225807
2025-10-14,200000000,6451612.903225807
2025-10-15,200000000,6451612.903225807
2025-10-16,200000000,6451612.903225807
2025-10-17,200000000,6451612.903225807
2025-10-18,200000000,6451612.903225807
2025-10-19,200000000,6451612.903225807
2025-10-20,200000000,6451612.903225807
2025-10-21,200000000,6451612.903225807
2025-10-22,200000000,6451612.903225807
2025-10-23,200000000,6451612.903225807
2025-10-24,200000000,6451612.903225807
2025-10-25,200000000,6451612.903225807
2025-10-26,200000000,6451612.903225807
2025-10-27,200000000,6451612.903225807
2025-10-28,200000000,6451612.903225807
2025-10-29,200000000,6451612.903225807
2025-10-30,200000000,6451612.903225807
2025-10-31,200000000,6451612.903225807
2025-11-01,200000000,6666666.666666667
2025-11-02,200000000,6666666.666666667
2025-11-03,200000000,6666666.666666667
2025-11-04,200000000,6666666.666666667
2025-11-05,200000000,6666666.666666667
2025-11-06,200000000,6666666.666666667
2025-11-07,200000000,6666666.666666667
2025-11-08,200000000,6666666.666666667
2025-11-09,200000000,6666666.666666667
2025-11-10,200000000,6666666.666666667
2025-11-11,200000000,6666666.666666667
2025-11-12,200000000,6666666.666666667
2025-11-13,200000000,6666666.666666667
2025-11-14,200000000,6666666.666666667
2025-11-15,200000000,6666666.666666667
2025-11-16,200000000,6666666.666666667
2025-11-17,200000000,6666666.666666667
2025-11-18,200000000,6666666.666666667
2025-11-19,200000000,6666666.666666667
2025-11-20,200000000,6666666.666666667
2025-11-21,200000000,6666666.666666667
2025-11-22,200000000,6666666.666666667
2025-11-23,200000000,6666666.666666667
2025-11-24,200000000,6666666.666666667
2025-11-25,200000000,6666666.666666667
2025-11-26,200000000,6666666.666666667
2025-11-27,200000000,6666666.666666667
2025-11-28,200000000,6666666.666666667
2025-11-29,200000000,6666666.666666667
2025-11-30,200000000,6666666.666666667
2025-12-01,200000000,6451612.903225807
2025-12-02,200000000,6451612.903225807
2025-12-03,200000000,6451612.903225807
2025-12-04,200000000,6451612.903225807
2025-12-05,200000000,6451612.903225807
2025-12-06,200000000,6451612.903225807
2025-12-07,200000000,6451612.903225807
2025-12-08,200000000,6451612.903225807
2025-12-09,200000000,6451612.903225807
2025-12-10,200000000,6451612.903225807
2025-12-11,200000000,6451612.903225807
2025-12-12,200000000,6451612.903225807
2025-12-13,200000000,6451612.903225807
2025-12-14,200000000,6451612.903225807
2025-12-15,200000000,6451612.903225807
2025-12-16,200000000,6451612.903225807
2025-12-17,200000000,6451612.903225807
2025-12-18,200000000,6451612.903225807
2025-12-19,200000000,6451612.903225807
2025-12-20,200000000,6451612.903225807
2025-12-21,200000000,6451612.903225807
2025-12-22,200000000,6451612.903225807
2025-12-23,200000000,6451612.903225807
2025-12-24,200000000,6451612.903225807
2025-12-25,200000000,6451612.903225807
2025-12-26,200000000,6451612.903225807
2025-12-27,200000000,6451612.903225807
2025-12-28,200000000,6451612.903225807
2025-12-29,200000000,6451612.903225807
2025-12-30,200000000,6451612.903225807
2025-12-31,200000000,6451612.903225807
